přijat/nepřijat;reg. číslo;tajné číslo;JPZ body;JPZ percentil;psychotest body;psychotest percentil;pohovor body;pohovor percentil;pořadí;poznámka
NE;817276;116;25;4%;13;2%;24;48%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
NE;817278;117;58;65%;28;83%;26;61%;29;Přijat na více prioritní školu
NE;817290;119;37;23%;19;14%;12;4%;100;Nepřijat pro nedostačující kapacitu oboru
NE;817387;120;42;30%;24;47%;24;48%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
NE;817594;121;25;4%;16;6%;24;48%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
NE;817832;122;71;81%;29;91%;21;32%;22;Přijat na více prioritní školu
NE;817907;124;38;25%;26;67%;28.5;89%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
NE;817950;123;54;61%;20;19%;13;8%;72;Přijat na více prioritní školu
NE;817963;125;49;47%;24;47%;27;70%;60;Přijat na více prioritní školu
NE;818122;126;33;18%;15;3%;26;61%;98;Nepřijat pro nedostačující kapacitu oboru
ANO;818195;127;42;30%;25;56%;27;70%;70;
ANO;818260;128;74;86%;27;79%;24;48%;21;
NE;818330;129;31;14%;25;56%;26;61%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
ANO;818388;130;49;47%;25;56%;27.5;79%;54;
NE;818423;131;30;11%;22;30%;20;28%;99;Nepřijat pro nedostačující kapacitu oboru
NE;818435;132;27;5%;16;6%;26.5;67%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
NE;819136;133;63;72%;24;47%;27.5;79%;33;Přijat na více prioritní školu
